Model                           ,Accuracy           ,Precision          ,Recall             ,F1                 ,Total Time
Logistic Regression             ,0.959702637323736  ,0.9596289875700452 ,0.959702637323736  ,0.9593218348873721 ,   2.939988136291504
Gaussian Naive Bayes            ,0.9132692194229748 ,0.9222239445087655 ,0.9132692194229748 ,0.9156247157871936 ,   0.014000415802001953
Linear Discriminant Analysis    ,0.8474836273526462 ,0.8489379562431079 ,0.8474836273526462 ,0.8406548630782136 ,   0.03899812698364258
Quadratic Discriminant Analysis ,0.9496725470529235 ,0.9514549794076179 ,0.9496725470529235 ,0.95019259748029   ,   0.03899812698364258
K Nearest Neighbours            ,0.9540385863472771 ,0.9543625662208938 ,0.9540385863472771 ,0.9539851691131552 ,   0.0049991607666015625
Decision Tree                   ,0.9789368104312939 ,0.9788430891397241 ,0.9789368104312939 ,0.9787990818833253 ,   0.0049991607666015625
Random Forest                   ,0.9792318130863178 ,0.9791336782708918 ,0.9792318130863178 ,0.979077424513194  ,   6.557921886444092
XGBoost                         ,0.9785828072452653 ,0.9785069825314082 ,0.9785828072452653 ,0.9784613291970425 ,   5.79888916015625
SVM_by_f1                       ,0.9756327806950262 ,0.9756342344597052 ,0.9756327806950262 ,0.9754543366446253 ,  75.34763526916504
SVM_by_time                     ,0.9708537376836391 ,0.9709315545772295 ,0.9708537376836391 ,0.9705597921680058 ,  16.168673515319824
NN_by_f1                        ,0.9760457844120597 ,0.9760104851223654 ,0.9760457844120597 ,0.975935114337351  ,1655.6805770397186
NN_by_time                      ,0.9692607233465101 ,0.9692577915083337 ,0.9692607233465101 ,0.9690777234631666 ,  91.59812498092651
CNN                             ,0.9625346628119653 ,0.9632843601821169 ,0.9625346628119653 ,0.9621616934989754 , 494.6103971004486
