learning_rate,batch_size,num_epochs,optimizer,accuracy,precision,recall,f1,training_time
0.01,16,200,Adagrad,0.9766914327043198,0.9767055485622977,0.9766914327043198,0.9766617432600648,1856.5344233512878
0.01,32,200,Adam,0.5296534946413308,0.404342503293441,0.5296534946413308,0.43404539878933734,1377.0285098552704
0.01,32,50,Adam,0.5366888026826221,0.43503316069966014,0.5366888026826221,0.44834553791414544,330.1216359138489
0.001,32,50,RMSprop,0.9750147938720495,0.9749620624757825,0.9750147938720495,0.9749338335546036,265.6087396144867
0.01,64,100,SGD,0.9746860411598396,0.9747306554193291,0.9746860411598396,0.9746456945042249,276.1468942165375
0.0001,32,200,Adam,0.9773160628575186,0.9772717439757879,0.9773160628575186,0.9772688857178145,1249.68523311615
0.001,64,50,Adamax,0.9754421723979223,0.9753824999905912,0.9754421723979223,0.9753959118731084,197.64225006103516
0.001,64,100,SGD,0.9674206062200014,0.9675889336456025,0.9674206062200014,0.9673758825125447,272.4698078632355
0.1,64,50,Adam,0.3346373857584325,0.11198217994723796,0.3346373857584325,0.1678091459780321,194.36906003952026
0.0001,64,100,Adamax,0.9744230389900717,0.9744777342638073,0.9744230389900717,0.9743856070187285,393.0160057544708
0.001,64,100,Adagrad,0.9685712407127359,0.9686605216739193,0.9685712407127359,0.9685301745254762,321.44143176078796
0.01,32,50,Adamax,0.9763955552633309,0.9763601984711743,0.9763955552633309,0.9763447091323577,334.5013973712921
0.0001,64,200,RMSprop,0.9772174370438557,0.9771668045311523,0.9772174370438557,0.9771768079662535,648.1807823181152
0.1,32,300,Adadelta,0.9780721940956013,0.978093468914956,0.9780721940956013,0.9780428214311854,1831.758780002594
0.1,16,300,SGD,0.3345058846735486,0.11189418688123337,0.3345058846735486,0.16769380812225537,2172.434252977371
0.001,64,300,RMSprop,0.9772831875862976,0.9772443619323942,0.9772831875862976,0.9772349435752987,976.2997999191284
0.001,16,50,SGD,0.9720888947333816,0.9722202515232292,0.9720888947333816,0.9720490867415372,360.0806338787079
0.001,64,50,Adam,0.9738312841080939,0.9739500553257787,0.9738312841080939,0.973837161866927,185.58765745162964
0.01,64,200,Adam,0.5522716812413703,0.377313026574357,0.5522716812413703,0.44735047596775784,800.9800336360931
0.0001,32,300,Adamax,0.9767571832467618,0.9767985888336939,0.9767571832467618,0.9767261783105105,2003.7596821784973
0.01,64,300,Adam,0.8124137024130449,0.8354593712499268,0.8124137024130449,0.8061795347478674,1224.618525981903
0.1,32,50,Adam,0.3345058846735486,0.11189418688123337,0.3345058846735486,0.16769380812225537,339.59616231918335
0.0001,64,50,RMSprop,0.9741271615490827,0.9740909461068671,0.9741271615490827,0.9740929097601669,160.7357532978058
0.0001,64,100,Adadelta,0.33453875994476956,0.446535251312345,0.33453875994476956,0.1677636834092943,361.7602756023407
0.1,16,200,RMSprop,0.3346373857584325,0.11198217994723796,0.3346373857584325,0.1678091459780321,2045.3988366127014
0.1,16,300,Adagrad,0.9792557038595568,0.9792578159537921,0.9792557038595568,0.9792288338851821,2758.360676765442
0.0001,16,200,SGD,0.9672891051351173,0.96736757764602,0.9672891051351173,0.9672145582178656,1433.80624461174
0.1,64,100,RMSprop,0.3308567295680189,0.10946617550044521,0.3308567295680189,0.16450482319907825,355.8111288547516
0.0001,32,50,RMSprop,0.976461305805773,0.9764826501461126,0.976461305805773,0.9764341323016685,262.5755343437195
0.1,32,300,Adamax,0.9309619304359261,0.9340438498373124,0.9309619304359261,0.931567688157102,2025.8611733913422
0.1,32,100,Adagrad,0.9784338220790322,0.9784070377091404,0.9784338220790322,0.9783916659592676,526.1104180812836
0.1,64,100,Adagrad,0.9775133144848445,0.9774806474219637,0.9775133144848445,0.9774653155772521,322.8901062011719
0.1,64,100,SGD,0.9704780064435532,0.9704289109410488,0.9704780064435532,0.970385249722689,275.00227642059326
0.1,64,200,RMSprop,0.3308567295680189,0.10946617550044521,0.3308567295680189,0.16450482319907825,715.2735421657562
0.01,64,300,Adagrad,0.9772831875862976,0.9772546564768652,0.9772831875862976,0.9772445789691018,967.8596115112305
0.0001,64,300,Adamax,0.976264054178447,0.9763894871670685,0.976264054178447,0.976245454298468,1180.9126360416412
0.01,16,200,Adadelta,0.973535406667105,0.973610262315493,0.973535406667105,0.9735069862904379,2143.7455344200134
0.0001,16,200,Adagrad,0.9396738773094878,0.9402258570741104,0.9396738773094878,0.9396720885398366,1838.3740532398224
0.0001,64,100,Adagrad,0.8366099020316917,0.85340320849273,0.8366099020316917,0.8327092837855354,321.2541584968567
0.001,64,200,Adadelta,0.9668946018804655,0.9670047208452761,0.9668946018804655,0.9668398489137292,719.6977453231812
0.01,32,50,RMSprop,0.8451903478203695,0.8746019758852823,0.8451903478203695,0.8402921775340058,287.6376929283142
0.001,16,100,Adagrad,0.9676178578473272,0.967722828008124,0.9676178578473272,0.9675596958328447,920.412477016449
0.01,64,200,Adadelta,0.9740942862778618,0.9741935000125257,0.9740942862778618,0.9740651410926122,719.7759096622467
0.1,64,200,SGD,0.9782365704517062,0.9782334331160465,0.9782365704517062,0.9782101583351746,548.2955946922302
0.0001,16,50,Adagrad,0.8322374909593004,0.8542513995914002,0.8322374909593004,0.8259934460564616,461.7650554180145
0.0001,64,50,Adam,0.976066802551121,0.9761772676038668,0.976066802551121,0.976049290881091,189.39785742759705
0.0001,16,300,RMSprop,0.9775133144848445,0.9774826415093627,0.9775133144848445,0.9774778807506045,2774.5170822143555
0.0001,32,100,Adadelta,0.6337694785981984,0.7455953502447269,0.6337694785981984,0.5352351603840474,603.2178146839142
0.01,32,100,SGD,0.9769873101453087,0.977133198275581,0.9769873101453087,0.9769665633690223,427.6217505931854
0.01,32,100,Adam,0.6055624958905911,0.40686348465789357,0.6055624958905911,0.4847573053835241,679.852358341217
0.01,32,200,SGD,0.9773489381287396,0.9772868757768473,0.9773489381287396,0.9773047291818036,851.9274780750275
0.001,16,50,Adamax,0.9765270563482149,0.9767434143714062,0.9765270563482149,0.9765079144789537,602.8440163135529
0.01,16,200,Adamax,0.9782365704517062,0.978298054653665,0.9782365704517062,0.978206705911985,2513.232927799225
0.1,32,200,SGD,0.6614175816950489,0.49416941337712694,0.6614175816950489,0.5505733335863607,1299.710730791092
0.001,64,100,Adadelta,0.907423236241699,0.9087011067663363,0.907423236241699,0.9077949669737325,539.6067140102386
0.001,32,200,Adagrad,0.9675849825761063,0.9677258705998344,0.9675849825761063,0.967567406932373,1491.2987790107727
0.01,16,100,Adadelta,0.9719902689197186,0.9720311491013458,0.9719902689197186,0.9719645625056779,1375.2733011245728
0.01,16,100,Adam,0.6344269840226182,0.48745039983617267,0.6344269840226182,0.5306940590354208,1406.448921918869
0.001,64,200,SGD,0.9726477743441383,0.9727545448136866,0.9726477743441383,0.9726041880248618,569.5752284526825
0.01,64,100,Adagrad,0.976231178907226,0.9762917913511665,0.976231178907226,0.97619936134165,349.0412676334381
